Name,Survived,Boarded,MWC,Age,Adut_or_Chld,Sex,Paid,Class_Dept,Class
"ABBING, Mr Anthony",Died,Southampton,Man,42,Adult,Male,7.55,3rd Class Passenger,3
"ABBOTT, Mr Ernest Owen",Died,Southampton,Man,21,Adult,Male,,Victualling Crew,V
"ABBOTT, Mr Eugene Joseph",Died,Southampton,Child,14,Child,Male,20.25,3rd Class Passenger,3
"ABBOTT, Mr Rossmore Edward",Died,Southampton,Man,16,Adult,Male,20.25,3rd Class Passenger,3
"ABBOTT, Mrs Rhoda Mary 'Rosa'",Survived,Southampton,Woman,39,Adult,Female,20.25,3rd Class Passenger,3
"ABELSETH, Miss Karen Marie",Survived,Southampton,Woman,16,Adult,Female,7.65,3rd Class Passenger,3
"ABELSETH, Mr Olaus Jrgensen",Survived,Southampton,Man,25,Adult,Male,7.65,3rd Class Passenger,3
"ABELSON, Mr Samuel",Died,Cherbourg,Man,30,Adult,Male,24,2nd Class Passenger,2
"ABELSON, Mrs Hannah",Survived,Cherbourg,Woman,28,Adult,Female,24,2nd Class Passenger,2
"ABRAHAMSSON, Mr Abraham August Johannes",Survived,Southampton,Man,20,Adult,Male,7.925,3rd Class Passenger,3
"ABRAHIM, Mrs Mary Sophie Halaut",Survived,Cherbourg,Woman,18,Adult,Female,7.22916667,3rd Class Passenger,3
"ABRAMS, Mr William Thomas",Died,Southampton,Man,33,Adult,Male,,Engineering Crew,E
"DAHL, Mr Mauritz Nils Martin",Died,Southampton,Man,30,Adult,Male,7.25,3rd Class Passenger,3
"ADAMS, Mr John",Died,Southampton,Man,26,Adult,Male,8.05,3rd Class Passenger,3
"ADAMS, Mr Robert John",Died,Southampton,Man,26,Adult,Male,,Engineering Crew,E
"AHIER, Mr Percy Snowden",Died,Southampton,Man,20,Adult,Male,,Victualling Crew,V
"AHLIN, Mrs Johanna Persdotter",Died,Southampton,Woman,40,Adult,Female,9.475,3rd Class Passenger,3
"AKERMAN, Mr Albert Edward",Died,Southampton,Man,31,Adult,Male,,Victualling Crew,V
"AKERMAN, Mr Joseph Francis",Died,Southampton,Man,35,Adult,Male,,Victualling Crew,V
"AKS, Master Frank Philip",Survived,Southampton,Child,0.83,Child,Male,9.35,3rd Class Passenger,3
"AKS, Mrs Leah",Survived,Southampton,Woman,18,Adult,Female,9.35,3rd Class Passenger,3
"ALBIMONA, Mr Nassef Cassem",Survived,Cherbourg,Man,26,Adult,Male,18.7875,3rd Class Passenger,3
